seed,method,tau_low,tau_high,theta,scorer,conformal_target_recall,coreset_budget,safety_recall,storage_savings_pct,duplicate_pairs,samples_removed,n_test,level0_count,level1_count,level2_count,level3_count
42,path_b,0.02,0.15,0.85,off,off,off,0.8134441087613293,29.300042680324374,70828,1373,4686,0,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_mean,0.9,off,0.9886706948640483,23.431498079385406,70828,1098,4686,2014,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_mean,0.95,off,0.9886706948640483,23.431498079385406,70828,1098,4686,2642,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_mean,0.99,off,0.9909365558912386,21.660264618011098,70828,1015,4686,3544,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_variance,0.9,off,0.8889728096676737,21.895006402048654,70828,1026,4686,3636,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_variance,0.95,off,0.9335347432024169,17.09346991037132,70828,801,4686,3876,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,70828,533,4686,4152,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_combined,0.9,off,0.9886706948640483,23.431498079385406,70828,1098,4686,2179,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_combined,0.95,off,0.9886706948640483,23.431498079385406,70828,1098,4686,2698,1374,854,133
42,path_b,0.02,0.15,0.85,bnn_combined,0.99,off,0.9909365558912386,21.489543320529236,70828,1007,4686,3611,1374,854,133
42,path_b,0.02,0.15,0.85,isolation_forest,0.9,off,0.993202416918429,10.712761416986769,70828,502,4686,3319,1374,854,133
42,path_b,0.02,0.15,0.85,isolation_forest,0.95,off,0.9984894259818731,6.956892872385829,70828,326,4686,3891,1374,854,133
42,path_b,0.02,0.15,0.85,isolation_forest,0.99,off,1.0,3.371745625266752,70828,158,4686,4395,1374,854,133
42,path_b,0.02,0.15,0.85,autoencoder,0.9,off,0.9969788519637462,4.609475032010243,70828,216,4686,4012,1374,854,133
42,path_b,0.02,0.15,0.85,autoencoder,0.95,off,0.9992447129909365,3.158344003414426,70828,148,4686,4262,1374,854,133
42,path_b,0.02,0.15,0.85,autoencoder,0.99,off,1.0,1.1737089201877933,70828,55,4686,4571,1374,854,133
42,path_b,0.02,0.15,0.85,ecod,0.9,off,0.9962235649546828,8.706786171574905,70828,408,4686,3741,1374,854,133
42,path_b,0.02,0.15,0.85,ecod,0.95,off,0.9977341389728097,4.58813486982501,70828,215,4686,4205,1374,854,133
42,path_b,0.02,0.15,0.85,ecod,0.99,off,0.9984894259818731,1.088348271446863,70828,51,4686,4581,1374,854,133
42,path_b,0.02,0.5,0.85,off,off,off,0.8134441087613293,29.300042680324374,70828,1373,4686,0,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_mean,0.9,off,0.9886706948640483,23.431498079385406,70828,1098,4686,2014,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_mean,0.95,off,0.9886706948640483,23.431498079385406,70828,1098,4686,2642,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_mean,0.99,off,0.9909365558912386,21.660264618011098,70828,1015,4686,3544,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_variance,0.9,off,0.8889728096676737,21.895006402048654,70828,1026,4686,3636,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_variance,0.95,off,0.9335347432024169,17.09346991037132,70828,801,4686,3876,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,70828,533,4686,4152,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_combined,0.9,off,0.9886706948640483,23.431498079385406,70828,1098,4686,2179,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_combined,0.95,off,0.9886706948640483,23.431498079385406,70828,1098,4686,2698,1374,98,133
42,path_b,0.02,0.5,0.85,bnn_combined,0.99,off,0.9909365558912386,21.489543320529236,70828,1007,4686,3611,1374,98,133
42,path_b,0.02,0.5,0.85,isolation_forest,0.9,off,0.993202416918429,10.712761416986769,70828,502,4686,3319,1374,98,133
42,path_b,0.02,0.5,0.85,isolation_forest,0.95,off,0.9984894259818731,6.956892872385829,70828,326,4686,3891,1374,98,133
42,path_b,0.02,0.5,0.85,isolation_forest,0.99,off,1.0,3.371745625266752,70828,158,4686,4395,1374,98,133
42,path_b,0.02,0.5,0.85,autoencoder,0.9,off,0.9969788519637462,4.609475032010243,70828,216,4686,4012,1374,98,133
42,path_b,0.02,0.5,0.85,autoencoder,0.95,off,0.9992447129909365,3.158344003414426,70828,148,4686,4262,1374,98,133
42,path_b,0.02,0.5,0.85,autoencoder,0.99,off,1.0,1.1737089201877933,70828,55,4686,4571,1374,98,133
42,path_b,0.02,0.5,0.85,ecod,0.9,off,0.9962235649546828,8.706786171574905,70828,408,4686,3741,1374,98,133
42,path_b,0.02,0.5,0.85,ecod,0.95,off,0.9977341389728097,4.58813486982501,70828,215,4686,4205,1374,98,133
42,path_b,0.02,0.5,0.85,ecod,0.99,off,0.9984894259818731,1.088348271446863,70828,51,4686,4581,1374,98,133
42,path_b,0.05,0.15,0.85,off,off,off,0.6155589123867069,51.664532650448145,126457,2421,4686,0,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_mean,0.9,off,0.947129909365559,36.91848058045241,126457,1730,4686,2014,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_mean,0.95,off,0.9569486404833837,34.52838241570636,126457,1618,4686,2642,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_mean,0.99,off,0.9894259818731118,23.96500213401622,126457,1123,4686,3544,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_variance,0.9,off,0.8814199395770392,22.32180964575331,126457,1046,4686,3636,2422,854,133
