seed,method,tau_low,tau_high,theta,scorer,conformal_target_recall,coreset_budget,safety_recall,storage_savings_pct,duplicate_pairs,samples_removed,n_test,level0_count,level1_count,level2_count,level3_count
42,path_b,0.02,0.15,0.85,off,off,off,0.3939393939393939,77.85190126751166,57617,1167,1499,0,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_mean,0.9,off,1.0,69.84656437625083,57617,1047,1499,175,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_mean,0.95,off,1.0,69.84656437625083,57617,1047,1499,188,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_mean,0.99,off,1.0,69.84656437625083,57617,1047,1499,195,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_variance,0.9,off,0.9141414141414141,59.17278185456971,57617,887,1499,464,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_variance,0.95,off,0.9646464646464646,56.70446964643096,57617,850,1499,506,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_variance,0.99,off,0.98989898989899,51.901267511674455,57617,778,1499,589,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_combined,0.9,off,0.9949494949494949,69.91327551701134,57617,1048,1499,214,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_combined,0.95,off,0.9949494949494949,69.91327551701134,57617,1048,1499,215,1170,63,214
42,path_b,0.02,0.15,0.85,bnn_combined,0.99,off,1.0,69.84656437625083,57617,1047,1499,216,1170,63,214
42,path_b,0.02,0.15,0.85,isolation_forest,0.9,off,0.98989898989899,39.89326217478319,57617,598,1499,862,1170,63,214
42,path_b,0.02,0.15,0.85,isolation_forest,0.95,off,1.0,33.28885923949299,57617,499,1499,988,1170,63,214
42,path_b,0.02,0.15,0.85,isolation_forest,0.99,off,1.0,30.286857905270182,57617,454,1499,1038,1170,63,214
42,path_b,0.02,0.15,0.85,autoencoder,0.9,off,0.9747474747474747,66.64442961974649,57617,999,1499,322,1170,63,214
42,path_b,0.02,0.15,0.85,autoencoder,0.95,off,0.9848484848484849,56.43762508338893,57617,846,1499,559,1170,63,214
42,path_b,0.02,0.15,0.85,autoencoder,0.99,off,0.9949494949494949,45.697131420947294,57617,685,1499,751,1170,63,214
42,path_b,0.02,0.15,0.85,ecod,0.9,off,0.9696969696969697,34.08939292861908,57617,511,1499,949,1170,63,214
42,path_b,0.02,0.15,0.85,ecod,0.95,off,0.9949494949494949,28.018679119412944,57617,420,1499,1060,1170,63,214
