seed,method,tau_low,tau_high,theta,scorer,conformal_target_recall,coreset_budget,safety_recall,storage_savings_pct,duplicate_pairs,samples_removed,n_test,level0_count,level1_count,level2_count,level3_count
42,path_b,0.02,0.15,0.85,off,off,off,0.9188311688311688,19.6,9206,196,1000,0,199,187,126
42,path_b,0.02,0.15,0.85,bnn_mean,0.9,off,0.961038961038961,18.3,9206,183,1000,553,199,187,126
42,path_b,0.02,0.15,0.85,bnn_mean,0.95,off,0.9642857142857143,17.4,9206,174,1000,749,199,187,126
42,path_b,0.02,0.15,0.85,bnn_mean,0.99,off,0.9805194805194806,9.5,9206,95,1000,897,199,187,126
42,path_b,0.02,0.15,0.85,bnn_variance,0.9,off,1.0,0.0,9206,0,1000,968,199,187,126
42,path_b,0.02,0.15,0.85,bnn_variance,0.95,off,1.0,0.0,9206,0,1000,983,199,187,126
42,path_b,0.02,0.15,0.85,bnn_variance,0.99,off,1.0,0.0,9206,0,1000,994,199,187,126
42,path_b,0.02,0.15,0.85,bnn_combined,0.9,off,0.961038961038961,18.3,9206,183,1000,567,199,187,126
42,path_b,0.02,0.15,0.85,bnn_combined,0.95,off,0.9707792207792207,15.7,9206,157,1000,801,199,187,126
42,path_b,0.02,0.15,0.85,bnn_combined,0.99,off,0.987012987012987,7.3,9206,73,1000,925,199,187,126
42,path_b,0.02,0.15,0.85,isolation_forest,0.9,off,0.974025974025974,11.200000000000001,9206,112,1000,711,199,187,126
42,path_b,0.02,0.15,0.85,isolation_forest,0.95,off,0.9935064935064936,5.800000000000001,9206,58,1000,866,199,187,126
42,path_b,0.02,0.15,0.85,isolation_forest,0.99,off,0.9967532467532467,1.7999999999999998,9206,18,1000,972,199,187,126
42,path_b,0.02,0.15,0.85,autoencoder,0.9,off,0.9837662337662337,10.7,9206,107,1000,671,199,187,126
42,path_b,0.02,0.15,0.85,autoencoder,0.95,off,0.987012987012987,5.7,9206,57,1000,846,199,187,126
42,path_b,0.02,0.15,0.85,autoencoder,0.99,off,0.9935064935064936,1.9,9206,19,1000,966,199,187,126
42,path_b,0.02,0.15,0.85,ecod,0.9,off,0.9805194805194806,9.6,9206,96,1000,772,199,187,126
42,path_b,0.02,0.15,0.85,ecod,0.95,off,0.9935064935064936,6.0,9206,60,1000,866,199,187,126
42,path_b,0.02,0.15,0.85,ecod,0.99,off,1.0,1.6,9206,16,1000,974,199,187,126
42,path_b,0.02,0.5,0.85,off,off,off,0.9188311688311688,19.6,9207,196,1000,0,199,45,126
42,path_b,0.02,0.5,0.85,bnn_mean,0.9,off,0.961038961038961,18.3,9207,183,1000,553,199,45,126
42,path_b,0.02,0.5,0.85,bnn_mean,0.95,off,0.9642857142857143,17.4,9207,174,1000,749,199,45,126
42,path_b,0.02,0.5,0.85,bnn_mean,0.99,off,0.9805194805194806,9.5,9207,95,1000,897,199,45,126
42,path_b,0.02,0.5,0.85,bnn_variance,0.9,off,1.0,0.0,9207,0,1000,968,199,45,126
42,path_b,0.02,0.5,0.85,bnn_variance,0.95,off,1.0,0.0,9207,0,1000,983,199,45,126
42,path_b,0.02,0.5,0.85,bnn_variance,0.99,off,1.0,0.0,9207,0,1000,994,199,45,126
42,path_b,0.02,0.5,0.85,bnn_combined,0.9,off,0.961038961038961,18.3,9207,183,1000,567,199,45,126
42,path_b,0.02,0.5,0.85,bnn_combined,0.95,off,0.9707792207792207,15.7,9207,157,1000,801,199,45,126
42,path_b,0.02,0.5,0.85,bnn_combined,0.99,off,0.987012987012987,7.3,9207,73,1000,925,199,45,126
42,path_b,0.02,0.5,0.85,isolation_forest,0.9,off,0.974025974025974,11.200000000000001,9207,112,1000,711,199,45,126
42,path_b,0.02,0.5,0.85,isolation_forest,0.95,off,0.9935064935064936,5.800000000000001,9207,58,1000,866,199,45,126
42,path_b,0.02,0.5,0.85,isolation_forest,0.99,off,0.9967532467532467,1.7999999999999998,9207,18,1000,972,199,45,126
42,path_b,0.02,0.5,0.85,autoencoder,0.9,off,0.9837662337662337,10.7,9207,107,1000,671,199,45,126
42,path_b,0.02,0.5,0.85,autoencoder,0.95,off,0.987012987012987,5.7,9207,57,1000,846,199,45,126
42,path_b,0.02,0.5,0.85,autoencoder,0.99,off,0.9935064935064936,1.9,9207,19,1000,966,199,45,126
42,path_b,0.02,0.5,0.85,ecod,0.9,off,0.9805194805194806,9.6,9207,96,1000,772,199,45,126
42,path_b,0.02,0.5,0.85,ecod,0.95,off,0.9935064935064936,6.0,9207,60,1000,866,199,45,126
42,path_b,0.02,0.5,0.85,ecod,0.99,off,1.0,1.6,9207,16,1000,974,199,45,126
42,path_b,0.05,0.15,0.85,off,off,off,0.8084415584415584,47.0,23195,470,1000,0,472,187,126
42,path_b,0.05,0.15,0.85,bnn_mean,0.9,off,0.8863636363636364,40.2,23195,402,1000,553,472,187,126
42,path_b,0.05,0.15,0.85,bnn_mean,0.95,off,0.9448051948051948,24.7,23195,247,1000,749,472,187,126
42,path_b,0.05,0.15,0.85,bnn_mean,0.99,off,0.9772727272727273,10.299999999999999,23195,103,1000,897,472,187,126
42,path_b,0.05,0.15,0.85,bnn_variance,0.9,off,1.0,0.0,23195,0,1000,968,472,187,126
42,path_b,0.05,0.15,0.85,bnn_variance,0.95,off,1.0,0.0,23195,0,1000,983,472,187,126
42,path_b,0.05,0.15,0.85,bnn_variance,0.99,off,1.0,0.0,23195,0,1000,994,472,187,126
42,path_b,0.05,0.15,0.85,bnn_combined,0.9,off,0.8928571428571429,39.900000000000006,23195,399,1000,567,472,187,126
42,path_b,0.05,0.15,0.85,bnn_combined,0.95,off,0.9642857142857143,19.7,23195,197,1000,801,472,187,126
42,path_b,0.05,0.15,0.85,bnn_combined,0.99,off,0.9837662337662337,7.5,23195,75,1000,925,472,187,126
42,path_b,0.05,0.15,0.85,isolation_forest,0.9,off,0.935064935064935,21.8,23195,218,1000,711,472,187,126
42,path_b,0.05,0.15,0.85,isolation_forest,0.95,off,0.974025974025974,11.0,23195,110,1000,866,472,187,126
42,path_b,0.05,0.15,0.85,isolation_forest,0.99,off,0.9935064935064936,2.5,23195,25,1000,972,472,187,126
42,path_b,0.05,0.15,0.85,autoencoder,0.9,off,0.9415584415584416,23.7,23195,237,1000,671,472,187,126
42,path_b,0.05,0.15,0.85,autoencoder,0.95,off,0.9707792207792207,11.799999999999999,23195,118,1000,846,472,187,126
42,path_b,0.05,0.15,0.85,autoencoder,0.99,off,0.9935064935064936,3.2,23195,32,1000,966,472,187,126
42,path_b,0.05,0.15,0.85,ecod,0.9,off,0.9512987012987013,18.2,23195,182,1000,772,472,187,126
42,path_b,0.05,0.15,0.85,ecod,0.95,off,0.974025974025974,11.4,23195,114,1000,866,472,187,126
42,path_b,0.05,0.15,0.85,ecod,0.99,off,0.9967532467532467,2.4,23195,24,1000,974,472,187,126
42,path_b,0.05,0.5,0.85,off,off,off,0.8084415584415584,47.0,23195,470,1000,0,472,45,126
42,path_b,0.05,0.5,0.85,bnn_mean,0.9,off,0.8863636363636364,40.2,23195,402,1000,553,472,45,126
42,path_b,0.05,0.5,0.85,bnn_mean,0.95,off,0.9448051948051948,24.7,23195,247,1000,749,472,45,126
42,path_b,0.05,0.5,0.85,bnn_mean,0.99,off,0.9772727272727273,10.299999999999999,23195,103,1000,897,472,45,126
42,path_b,0.05,0.5,0.85,bnn_variance,0.9,off,1.0,0.0,23195,0,1000,968,472,45,126
42,path_b,0.05,0.5,0.85,bnn_variance,0.95,off,1.0,0.0,23195,0,1000,983,472,45,126
42,path_b,0.05,0.5,0.85,bnn_variance,0.99,off,1.0,0.0,23195,0,1000,994,472,45,126
42,path_b,0.05,0.5,0.85,bnn_combined,0.9,off,0.8928571428571429,39.900000000000006,23195,399,1000,567,472,45,126
42,path_b,0.05,0.5,0.85,bnn_combined,0.95,off,0.9642857142857143,19.7,23195,197,1000,801,472,45,126
42,path_b,0.05,0.5,0.85,bnn_combined,0.99,off,0.9837662337662337,7.5,23195,75,1000,925,472,45,126
42,path_b,0.05,0.5,0.85,isolation_forest,0.9,off,0.935064935064935,21.8,23195,218,1000,711,472,45,126
42,path_b,0.05,0.5,0.85,isolation_forest,0.95,off,0.974025974025974,11.0,23195,110,1000,866,472,45,126
42,path_b,0.05,0.5,0.85,isolation_forest,0.99,off,0.9935064935064936,2.5,23195,25,1000,972,472,45,126
42,path_b,0.05,0.5,0.85,autoencoder,0.9,off,0.9415584415584416,23.7,23195,237,1000,671,472,45,126
42,path_b,0.05,0.5,0.85,autoencoder,0.95,off,0.9707792207792207,11.799999999999999,23195,118,1000,846,472,45,126
42,path_b,0.05,0.5,0.85,autoencoder,0.99,off,0.9935064935064936,3.2,23195,32,1000,966,472,45,126
42,path_b,0.05,0.5,0.85,ecod,0.9,off,0.9512987012987013,18.2,23195,182,1000,772,472,45,126
42,path_b,0.05,0.5,0.85,ecod,0.95,off,0.974025974025974,11.4,23195,114,1000,866,472,45,126
42,path_b,0.05,0.5,0.85,ecod,0.99,off,0.9967532467532467,2.4,23195,24,1000,974,472,45,126
42,path_b,0.1,0.15,0.85,off,off,off,0.7402597402597403,63.0,30760,630,1000,0,631,187,126
42,path_b,0.1,0.15,0.85,bnn_mean,0.9,off,0.8766233766233766,44.6,30760,446,1000,553,631,187,126
42,path_b,0.1,0.15,0.85,bnn_mean,0.95,off,0.9448051948051948,25.1,30760,251,1000,749,631,187,126
42,path_b,0.1,0.15,0.85,bnn_mean,0.99,off,0.9772727272727273,10.299999999999999,30760,103,1000,897,631,187,126
42,path_b,0.1,0.15,0.85,bnn_variance,0.9,off,1.0,0.0,30760,0,1000,968,631,187,126
42,path_b,0.1,0.15,0.85,bnn_variance,0.95,off,1.0,0.0,30760,0,1000,983,631,187,126
42,path_b,0.1,0.15,0.85,bnn_variance,0.99,off,1.0,0.0,30760,0,1000,994,631,187,126
